Date of Sampling	PM10	PM2.5	SO2	NO2	O3 	NH3 	C6H6	BaP	Pb 	As  	Ni 
23.12.2014	103.74	46.93	11.51	13.3	1.3	3.4	BDL	BDL	BDL	BDL	BDL
25.12.2014	116.49	43.45	12.62	19.3	2.2	3.2	BDL	BDL	BDL	BDL	BDL
29.12.2014	110.18	37.14	14.34	17.5	1.8	2.8	BDL	BDL	BDL	BDL	BDL
1.01.2015	154.04	53.03	10.65	14.8	1.8	2.5	BDL	BDL	BDL	BDL	BDL
5.01.2015	86.84	38.91	13.21	16.4	1.8	3.7	BDL	BDL	BDL	BDL	BDL
8.01.2015	124.40	43.59	11.76	19.0	1.9	3.5	BDL	BDL	BDL	BDL	BDL
12.01.2015	113.20	42.03	13.91	15.8	2.2	4.1	BDL	BDL	BDL	BDL	BDL
15.01.2015	95.85	40.25	13.37	17.1	1.8	4.4	BDL	BDL	BDL	BDL	BDL
19.01.2015	129.59	39.18	11.18	18.5	2.7	2.7	BDL	BDL	BDL	BDL	BDL
22.01.2015	94.2	46.8	11.2	16.3	1.3	3.6	BDL	BDL	BDL	BDL	BDL
26.01.2015	84.0	43.6	10.2	14.8	2.3	3.1	BDL	BDL	BDL	BDL	BDL
29.01.2015	66.6	38.0	13.2	15.5	2.1	3.0	BDL	BDL	BDL	BDL	BDL
02.02.2015	71.3	34.7	14.5	15.2	1.9	4.1	BDL	BDL	BDL	BDL	BDL
05.02.2015	118.1	55.4	10.4	19.6	1.4	3.6	BDL	BDL	BDL	BDL	BDL
09.02.2015	64.6	32.6	11.3	15.1	2.4	3.6	BDL	BDL	BDL	BDL	BDL
12.02.2015	91.1	44.9	11.9	17.4	2.4	3.9	BDL	BDL	BDL	BDL	BDL
16.02.2015	78.1	39.5	13.0	18.3	1.9	4.3	BDL	BDL	BDL	BDL	BDL
19.02.2015	131.9	53.3	14.5	19.6	2.0	4.3	BDL	BDL	BDL	BDL	BDL
23.02.2015	91	39	11.2	16.0	2.5	4.6	BDL	BDL	BDL	BDL	BDL
26.02.2015	106	47	15.0	11.8	1.8	2.7	BDL	BDL	BDL	BDL	BDL
02.03.2015	103	44	13.0	13.9	2.7	4.6	BDL	BDL	BDL	BDL	BDL
05.03.2015	107	45	14.6	16.5	2.5	4.5	BDL	BDL	BDL	BDL	BDL
09.03.2015	118	53	10.5	13.0	1.9	3.5	BDL	BDL	BDL	BDL	BDL
12.03.2015	78	36	9.5	12.6	2.0	3.1	BDL	BDL	BDL	BDL	BDL
16.03.2015	82	37	11.0	14.5	1.9	2.1	BDL	BDL	BDL	BDL	BDL
19.03.2015	90	39	11.4	16.4	1.8	3.4	BDL	BDL	BDL	BDL	BDL
23.03.2015	96.23	42.31	11.0	14.0	4.1	2.3	BDL	BDL	BDL	BDL	BDL
26.03.2015	105.64	47.89	17.3	16.1	2.4	2.0	BDL	BDL	BDL	BDL	BDL
30.03.2015	87.98	39.51	14.5	11.8	3.5	2.4	BDL	BDL	BDL	BDL	BDL
02.04.2015	107.20	50.51	14.7	17.3	3.5	2.4	BDL	BDL	BDL	BDL	BDL
06.04.2015	119.11	51.97	10.6	16.9	3.0	2.0	BDL	BDL	BDL	BDL	BDL
09.04.2015	118.16	51.30	10.5	15.5	3.5	2.2	BDL	BDL	BDL	BDL	BDL
13.04.2015	125.51	51.17	14.1	14.8	3.8	2.1	BDL	BDL	BDL	BDL	BDL
16.04.2015	81.36	36.30	15.0	16.4	3.7	2.8	BDL	BDL	BDL	BDL	BDL
20.04.2015	64.0	30.0	10.6	13.3	4.2	2.4	BDL	BDL	BDL	BDL	BDL
23.04.2015	52.0	23.0	14.6	12.9	2.3	1.9	BDL	BDL	BDL	BDL	BDL
27.04.2015	135.0	55.0	15.1	15.9	4.0	2.9	BDL	BDL	BDL	BDL	BDL
30.04.2015	71.0	31.0	13.0	12.6	3.4	2.4	BDL	BDL	BDL	BDL	BDL
04.05.2015	93.0	39.0	9.8	13.4	3.1	2.0	BDL	BDL	BDL	BDL	BDL
07.05.2015	77.0	34.0	11.9	12.0	3.5	2.2	BDL	BDL	BDL	BDL	BDL
11.05.2015	102.0	41.0	11.9	13.1	3.5	2.0	BDL	BDL	BDL	BDL	BDL
14.05.2015	91.0	39.0	14.9	16.7	3.9	3.0	BDL	BDL	BDL	BDL	BDL
18.05.2015	70.0	31.0	11.2	13.2	3.2	1.8	BDL	BDL	BDL	BDL	BDL
21.05.2015	89	35	8	10.5	4.4	2.3	BDL	BDL	BDL	BDL	BDL
25.05.2015	80	29	10.2	13.6	3.9	2.5	BDL	BDL	BDL	BDL	BDL
28.05.2015	71	30	12.8	11.6	3.1	2.2	BDL	BDL	BDL	BDL	BDL
01.06.2015	85	36	10.8	14.2	3.2	1.9	BDL	BDL	BDL	BDL	BDL
04.06.2015	61	48	12.1	14.4	2.5	2.8	BDL	BDL	BDL	BDL	BDL
08.06.2015	78	28	11	11.6	2.8	2.2	BDL	BDL	BDL	BDL	BDL
11.06.2015	75	40	9.7	15.6	3	2.2	BDL	BDL	BDL	BDL	BDL
15.06.2015	69	31	10.4	11.9	3.3	2.3	BDL	BDL	BDL	BDL	BDL
18.06.2015	71	28	12.1	12.2	4	2.7	BDL	BDL	BDL	BDL	BDL
22.06.2015	75	31	12.3	10.5	3.6	2.7	BDL	BDL	BDL	BDL	BDL
25.06.2015	84	35	13.3	9.6	3.0	2.0	BDL	BDL	BDL	BDL	BDL
29.06.2015	109	42	15.9	11.2	2.9	2.5	BDL	BDL	BDL	BDL	BDL
02.07.2015	104	41	13.6	13.9	3.4	2.5	BDL	BDL	BDL	BDL	BDL
06.07.2015	113	43	16.7	11.7	4.1	2.6	BDL	BDL	BDL	BDL	BDL
09.07.2015	80	35	12.7	12.8	3.5	1.8	BDL	BDL	BDL	BDL	BDL
13.07.2015	88	39	15.8	10.1	3.9	2.5	BDL	BDL	BDL	BDL	BDL
16.07.2015	94	37	13.9	11.9	2.8	3.1	BDL	BDL	BDL	BDL	BDL
20.07.2015	96.5	38.3	13	11.5	4.2	2.1	BDL	BDL	BDL	BDL	BDL
23.07.2015	49.4	25.1	10.6	9.9	3.6	2.8	BDL	BDL	BDL	BDL	BDL
27.07.2015	46.1	21.7	11.6	10.6	2.3	1.7	BDL	BDL	BDL	BDL	BDL
30.07.2015	57.6	22	13.3	10.9	2.8	1.8	BDL	BDL	BDL	BDL	BDL
03.08.2015	76.6	30.9	11.9	10.7	3.8	2.5	BDL	BDL	BDL	BDL	BDL
06.08.2015	67.5	29.4	12.7	11.7	2.8	1.9	BDL	BDL	BDL	BDL	BDL
10.08.2015	106.4	40.2	14	9.8	4.4	2.1	BDL	BDL	BDL	BDL	BDL
13.08.2015	81.7	33.9	15.3	12.1	3.2	2.8	BDL	BDL	BDL	BDL	BDL
17.08.2015	89.3	36.2	13.8	11.2	3.4	2	BDL	BDL	BDL	BDL	BDL
20.08.2015	103.2	36.8	15.3	10.7	2.8	3.2	BDL	BDL	BDL	BDL	BDL
24.08.2015	89.9	38.2	15.6	13.0	3.5	2.7	BDL	BDL	BDL	BDL	BDL
27.08.2015	91.7	30.5	13.6	9.0	3.0	2.2	BDL	BDL	BDL	BDL	BDL
31.08.2015	106.5	40.9	13.7	9.6	3.5	3.0	BDL	BDL	BDL	BDL	BDL
03.09.2015	121.6	45.1	14.3	10.4	3.6	2.8	BDL	BDL	BDL	BDL	BDL
07.09.2015	70.2	28.1	17.4	13.9	2.7	2.2	BDL	BDL	BDL	BDL	BDL
10.09.2015	69.3	29.4	15.4	12.4	4.5	2.8	BDL	BDL	BDL	BDL	BDL
14.09.2015	84.2	31.4	19.0	14.2	2.7	2.7	BDL	BDL	BDL	BDL	BDL
17.09.2015	79.2	32.7	15.3	12.0	4.7	2.6	BDL	BDL	BDL	BDL	BDL
21.09.2015	65.5	26.5	15.6	10.9	2.5	4.3	BDL	BDL	BDL	BDL	BDL
24.09.2015	75.8	27.4	14.8	12	3.5	3.6	BDL	BDL	BDL	BDL	BDL
28.09.2015	96.9	30.2	13.8	12.1	2.3	2.7	BDL	BDL	BDL	BDL	BDL
01.10.2015	101.4	39.5	14.9	9.6	3	3.5	BDL	BDL	BDL	BDL	BDL
05.10.2015	91.2	36.9	13.8	12	2.8	3.7	BDL	BDL	BDL	BDL	BDL
08.10.2015	76.3	31.4	16.5	13.6	2.4	3.4	BDL	BDL	BDL	BDL	BDL
12.10.2015	119	45.2	13.4	9.7	3	4	BDL	BDL	BDL	BDL	BDL
15.10.2015	80.4	25.7	20.4	14.4	2.7	2.7	BDL	BDL	BDL	BDL	BDL
19.10.2015	97.9	36.7	15.8	10.7	2.6	3.3	BDL	BDL	BDL	BDL	BDL
22/10/2015	79.6	31.1	14.9	13.3	2.1	3.8	BDL	BDL	BDL	BDL	BDL
26/10/2015	90.7	37.8	17.2	11.1	2.7	4.5	BDL	BDL	BDL	BDL	BDL
29/10/2015	81.8	34.9	14.1	14.3	2.5	3.6	BDL	BDL	BDL	BDL	BDL
2/11/2015	106.1	37.8	16.9	11.5	2	4.5	BDL	BDL	BDL	BDL	BDL
5/11/2015	80.5	31.2	18.3	14.6	2.4	4.5	BDL	BDL	BDL	BDL	BDL
9/11/2015	114.2	42.2	15	13.4	2.2	4.2	BDL	BDL	BDL	BDL	BDL
12/11/2015	132.6	44.1	13.2	10.4	2.5	4.4	BDL	BDL	BDL	BDL	BDL
16/11/2015	76.8	30.5	14.9	11.2	2	3.5	BDL	BDL	BDL	BDL	BDL
19/11/2015	101.7	35.3	18.6	12.6	2.6	3.7	BDL	BDL	BDL	BDL	BDL
23/11/15	128.9	45	15.7	13.1	2.4	3.7	BDL	BDL	BDL	BDL	BDL
26/11/15	106	41.5	15.9	12.4	2.1	3.8	BDL	BDL	BDL	BDL	BDL
30/11/15	102.9	38.1	17.3	12.6	2.2	4.6	BDL	BDL	BDL	BDL	BDL
3/12/2015	91.1	32	18.8	11.9	2.5	4.4	BDL	BDL	BDL	BDL	BDL
7/12/2015	117.4	47.7	18.2	12.8	1.8	3.9	BDL	BDL	BDL	BDL	BDL
10/12/2015	92.4	34.5	16.7	11.7	2.4	3.6	BDL	BDL	BDL	BDL	BDL
14/12/15	136.4	43.1	14.5	10.5	2.3	4.5	BDL	BDL	BDL	BDL	BDL
17/12/15	84.1	30.9	16.1	12.1	2.9	3.4	BDL	BDL	BDL	BDL	BDL
